--- 劇集總表 (共 6803 部) ---
名稱: (陸劇)(2001) 還我激情 | 代碼: 313333
名稱: (陸劇)(2001) 藍色馬蹄蓮 | 代碼: 3133657
名稱: (陸劇)(2001) 東北一家人 | 代碼: 3133746
名稱: (陸劇)(2001) 兼並 | 代碼: 3134335
名稱: (陸劇)(2001) 英雄 | 代碼: 3136320
名稱: (陸劇)(2001) 烏龍闖情關 | 代碼: 3136653
名稱: (陸劇)(2001) 都市名片 | 代碼: 3143933
名稱: (陸劇)(2001) 俠客行 | 代碼: 3144474
名稱: (陸劇)(2001) 人間竈王 | 代碼: 3148895
名稱: (陸劇)(2001) 文成公主 | 代碼: 3149210
名稱: (陸劇)(2001) 不要和陌生人說話 | 代碼: 3150156
名稱: (陸劇)(2001) 激情燃燒的歲月 | 代碼: 3150489
名稱: (陸劇)(2001) 鐵齒銅牙紀曉嵐 | 代碼: 3150539
名稱: (陸劇)(2001) 少林七崁 | 代碼: 3150546
名稱: (陸劇)(2001) 孫子謀略 | 代碼: 3153064
名稱: (陸劇)(2001) 魯迅與許廣平 | 代碼: 3154239
名稱: (陸劇)(2001) 四大名捕鬥將軍 | 代碼: 315503
名稱: (陸劇)(2001) 像霧像雨又像風 | 代碼: 3155262
名稱: (陸劇)(2001) 笑傲江湖 | 代碼: 3157072
名稱: (陸劇)(2001) 忠誠 | 代碼: 3157082
名稱: (陸劇)(2001) 策馬嘯西風 | 代碼: 3157165
名稱: (陸劇)(2001) 長徵 | 代碼: 3158509
名稱: (陸劇)(2001) 少年包青天2 | 代碼: 3158932
名稱: (陸劇)(2001) 絕色雙嬌 | 代碼: 3159086
名稱: (陸劇)(2001) 日出東方 | 代碼: 3160553
